id_abo,debut_abonnement,genre,type_abonnement,tarif_mensuel,age
2731105,2028-05-17,homme,2trajet_sem_meca,3,23
8214431,2027-09-16,,2trajet_sem_meca,3,25
16924561,2027-08-21,homme,2trajet_sem_tous,6,36
28406586,2027-08-18,non-binaire,10trajet_sem_meca,8,24
21302267,2028-03-23,homme,2trajet_sem_tous,6,42
3813785,2027-07-05,femme,2trajet_sem_tous,6,52
22582617,2027-06-07,femme,2trajet_sem_tous,6,40
11362918,2028-05-18,homme,2trajet_sem_tous,6,40
27721322,2028-03-31,homme,2trajet_sem_meca,3,20
6802364,2027-07-27,non-binaire,2trajet_sem_meca,3,28
21011285,2028-02-24,homme,2trajet_sem_tous,6,48
27531437,2028-02-21,homme,2trajet_sem_meca,3,24
23446093,2027-08-15,homme,2trajet_sem_meca,3,16
21675123,2027-11-30,homme,2trajet_sem_tous,6,46
22200589,2027-08-31,non-binaire,2trajet_sem_tous,6,39
17253732,2027-11-05,femme,2trajet_sem_tous,6,32
4617718,2027-06-13,homme,2trajet_sem_meca,3,20
6219352,2027-09-04,femme,2trajet_sem_tous,6,45
27177978,2027-07-25,homme,2trajet_sem_meca,3,30
25637946,2028-02-01,homme,10trajet_sem_meca,8,29
4264085,2027-09-16,non-binaire,10trajet_sem_meca,8,28
5323106,2027-09-02,femme,10trajet_sem_tous,16,36
7631094,2027-07-15,non-binaire,10trajet_sem_tous,16,36
26993617,2027-07-20,homme,2trajet_sem_tous,6,37
29167367,2027-09-22,femme,10trajet_sem_meca,8,34
8316729,2027-07-21,femme,2trajet_sem_tous,6,40
18754571,2027-08-25,homme,2trajet_sem_meca,3,27
7611894,2027-08-24,femme,2trajet_sem_tous,6,39
24901066,2027-10-17,femme,2trajet_sem_tous,6,34
17534843,2027-09-04,femme,2trajet_sem_tous,6,34
10607966,2027-06-12,femme,2trajet_sem_meca,3,33
30208717,2027-08-21,homme,2trajet_sem_meca,3,45
2719592,2027-07-01,homme,2trajet_sem_meca,3,21
9083781,2027-09-16,femme,10trajet_sem_tous,16,36
20961440,2027-07-18,femme,2trajet_sem_tous,6,46
12581150,2027-09-12,homme,2trajet_sem_tous,6,47
19124095,2028-05-03,,2trajet_sem_tous,6,30
2620449,2027-09-05,femme,2trajet_sem_tous,6,49
25996568,2028-03-24,femme,2trajet_sem_tous,6,64
823450,2028-05-16,femme,10trajet_sem_meca,8,23
298717,2027-09-09,femme,10trajet_sem_tous,16,41
28868997,2027-09-25,homme,2trajet_sem_meca,3,20
29825210,2028-03-31,femme,2trajet_sem_meca,3,26
11167486,2027-06-07,femme,2trajet_sem_tous,6,33
10348259,2027-07-05,femme,2trajet_sem_tous,6,35
21838170,2027-07-18,homme,2trajet_sem_tous,6,25
16836505,2027-08-14,homme,2trajet_sem_tous,6,41
15472398,2027-07-09,femme,2trajet_sem_tous,6,44
11704362,2027-08-04,femme,2trajet_sem_tous,6,52
25139506,2028-04-24,femme,illimité,25,45
21040072,2028-05-10,femme,10trajet_sem_tous,16,31
2087875,2028-04-15,femme,2trajet_sem_tous,6,34
26797754,2027-10-01,femme,2trajet_sem_meca,3,31
13398787,2028-02-07,femme,2trajet_sem_tous,6,47
14173572,2027-12-04,femme,2trajet_sem_meca,3,29
15406666,2027-10-06,femme,illimité,25,44
8677790,2028-03-11,homme,2trajet_sem_tous,6,35
25193096,2027-12-11,,10trajet_sem_meca,8,21
24294697,2028-05-24,homme,2trajet_sem_meca,3,19
1868170,2028-05-29,,10trajet_sem_tous,16,30
15822077,2027-06-30,femme,2trajet_sem_meca,3,21
28317015,2027-07-09,femme,2trajet_sem_meca,3,27
23598507,2027-09-02,femme,2trajet_sem_meca,3,21
16528076,2027-07-31,homme,10trajet_sem_meca,8,19
13903815,2027-09-16,femme,2trajet_sem_meca,3,25
10685478,2027-08-20,femme,2trajet_sem_tous,6,37
3837595,2028-04-13,,2trajet_sem_tous,6,40
5073830,2028-01-27,,2trajet_sem_tous,6,29
9293456,2028-05-11,femme,2trajet_sem_tous,6,34
5142739,2028-04-01,femme,2trajet_sem_meca,3,24
8963906,2028-04-01,non-binaire,2trajet_sem_meca,3,24
13875426,2027-09-09,femme,2trajet_sem_tous,6,27
19009673,2027-07-17,femme,10trajet_sem_tous,16,27
15650840,2027-07-27,homme,10trajet_sem_meca,8,32
12855192,2027-09-08,femme,10trajet_sem_tous,16,39
19174331,2027-09-12,homme,illimité,25,45
9548740,2027-09-18,femme,2trajet_sem_meca,3,20
10953973,2028-05-30,homme,2trajet_sem_tous,6,48
22576572,2027-08-17,homme,2trajet_sem_meca,3,20
2981609,2028-03-14,femme,2trajet_sem_meca,3,33
6755116,2028-05-31,homme,2trajet_sem_tous,6,42
8251363,2027-08-23,homme,10trajet_sem_meca,8,33
27594227,2028-06-02,,2trajet_sem_tous,6,40
13188711,2028-03-19,femme,2trajet_sem_meca,3,30
3303356,2027-07-13,femme,illimité,25,46
5214444,2027-06-28,non-binaire,2trajet_sem_meca,3,19
17149314,2027-12-13,homme,2trajet_sem_meca,3,28
14717637,2027-09-14,homme,2trajet_sem_meca,3,32
14796802,2027-08-15,homme,2trajet_sem_meca,3,19
10837222,2027-09-08,femme,2trajet_sem_meca,3,30
21214703,2027-08-07,non-binaire,2trajet_sem_tous,6,39
25717011,2027-07-20,homme,2trajet_sem_meca,3,29
29366251,2027-08-20,femme,2trajet_sem_tous,6,33
9370441,2027-07-01,femme,10trajet_sem_meca,8,26
25721997,2028-04-15,homme,2trajet_sem_tous,6,41
9308250,2028-05-22,femme,2trajet_sem_meca,3,20
19045177,2028-05-04,homme,2trajet_sem_meca,3,17
4572281,2027-11-11,femme,2trajet_sem_meca,3,34
27143957,2028-01-31,homme,2trajet_sem_tous,6,36
27327859,2028-01-16,femme,10trajet_sem_tous,16,40
17858876,2027-07-31,homme,2trajet_sem_meca,3,32
25442671,2027-11-28,homme,2trajet_sem_meca,3,32
16651164,2027-09-20,homme,2trajet_sem_meca,3,23
10219173,2027-08-22,homme,2trajet_sem_meca,3,18
1490236,2027-06-15,,2trajet_sem_tous,6,30
28988604,2028-03-14,femme,2trajet_sem_meca,3,31
1371456,2028-01-31,femme,2trajet_sem_tous,6,37
19925919,2027-08-19,femme,2trajet_sem_tous,6,52
21536880,2027-08-26,femme,2trajet_sem_meca,3,23
6062808,2027-12-21,homme,10trajet_sem_tous,16,34
10818237,2027-10-29,homme,illimité,25,46
26693972,2027-08-05,femme,2trajet_sem_tous,6,49
20989626,2028-03-28,homme,10trajet_sem_tous,16,30
15104379,2028-06-01,femme,2trajet_sem_tous,6,38
627749,2027-07-18,femme,2trajet_sem_meca,3,26
6437587,2027-08-06,homme,2trajet_sem_tous,6,38
15013773,2027-09-06,homme,2trajet_sem_meca,3,35
18571626,2027-12-16,,2trajet_sem_tous,6,20
28825499,2028-05-28,non-binaire,2trajet_sem_tous,6,36
14587062,2027-09-30,homme,2trajet_sem_tous,6,26
3818308,2027-12-18,femme,2trajet_sem_tous,6,28
15423299,2028-01-31,femme,10trajet_sem_meca,8,22
491766,2027-06-26,femme,2trajet_sem_tous,6,41
1399715,2027-08-26,,2trajet_sem_meca,3,27
9246125,2027-09-20,homme,2trajet_sem_tous,6,28
15951083,2028-04-01,homme,2trajet_sem_meca,3,20
29818016,2028-05-02,non-binaire,2trajet_sem_meca,3,18
17212060,2027-09-13,femme,2trajet_sem_meca,3,23
19310806,2027-09-13,homme,2trajet_sem_tous,6,50
13210503,2028-03-16,femme,2trajet_sem_meca,3,31
2831549,2027-08-23,femme,10trajet_sem_tous,16,33
7846537,2027-08-27,,2trajet_sem_tous,6,36
26550505,2028-05-23,femme,2trajet_sem_meca,3,26
29812574,2027-08-28,homme,2trajet_sem_meca,3,23
8954929,2027-09-13,femme,2trajet_sem_meca,3,17
3453991,2028-05-20,femme,illimité,25,45
24911786,2027-12-23,homme,2trajet_sem_meca,3,32
5643703,2028-04-21,homme,2trajet_sem_tous,6,48
15239,2027-08-31,femme,2trajet_sem_meca,3,24
13037132,2028-01-26,homme,10trajet_sem_tous,16,39
4149894,2028-05-08,femme,2trajet_sem_tous,6,46
18299788,2028-03-20,femme,2trajet_sem_tous,6,32
15272072,2027-08-13,homme,2trajet_sem_tous,6,33
7134822,2027-11-12,femme,illimité,25,50
23604562,2027-07-30,femme,illimité,25,42
3844957,2027-06-17,,10trajet_sem_meca,8,26
17045718,2027-10-14,femme,2trajet_sem_tous,6,32
2116845,2027-08-01,,2trajet_sem_meca,3,24
2235860,2028-05-03,femme,2trajet_sem_meca,3,26
425395,2027-11-24,homme,10trajet_sem_meca,8,31
4095405,2028-05-28,femme,illimité,25,40
2839205,2027-08-30,femme,2trajet_sem_tous,6,40
3452485,2027-08-26,homme,2trajet_sem_tous,6,36
29305371,2028-01-17,non-binaire,2trajet_sem_meca,3,29
20735453,2028-05-27,homme,10trajet_sem_meca,8,23
14446282,2027-06-25,femme,2trajet_sem_meca,3,34
3715562,2028-02-25,,10trajet_sem_tous,16,31
20065415,2027-07-26,,2trajet_sem_tous,6,34
28939741,2027-08-03,homme,2trajet_sem_meca,3,22
24105577,2027-11-18,homme,2trajet_sem_tous,6,50
27150768,2027-09-16,homme,illimité,25,37
21847759,2027-09-15,femme,illimité,25,48
1088097,2027-08-05,femme,2trajet_sem_tous,6,51
4193370,2028-05-30,homme,2trajet_sem_tous,6,52
8768675,2027-12-13,femme,2trajet_sem_tous,6,43
3661868,2027-08-13,homme,2trajet_sem_tous,6,38
15182321,2028-03-19,homme,2trajet_sem_tous,6,50
19276938,2027-11-13,homme,2trajet_sem_tous,6,41
847994,2027-06-13,femme,2trajet_sem_tous,6,40
29127918,2027-06-05,homme,2trajet_sem_tous,6,53
22379755,2028-03-03,homme,2trajet_sem_tous,6,46
5174376,2027-12-10,femme,2trajet_sem_meca,3,19
5816767,2027-10-25,femme,2trajet_sem_tous,6,32
21246202,2027-06-16,homme,2trajet_sem_meca,3,35
14900951,2027-09-15,femme,2trajet_sem_tous,6,27
22593915,2027-08-31,femme,2trajet_sem_meca,3,22
3237948,2027-07-31,femme,2trajet_sem_tous,6,35
13856796,2027-07-02,femme,2trajet_sem_meca,3,26
16240353,2027-06-22,homme,10trajet_sem_meca,8,24
15949622,2027-07-02,femme,2trajet_sem_meca,3,24
13193465,2027-07-13,homme,2trajet_sem_meca,3,21
24619184,2027-07-14,femme,2trajet_sem_meca,3,26
5770684,2027-08-29,homme,2trajet_sem_tous,6,36
20985052,2028-02-02,homme,2trajet_sem_tous,6,44
12033324,2027-10-15,femme,10trajet_sem_tous,16,32
24482707,2028-02-23,femme,2trajet_sem_meca,3,34
5342118,2028-05-21,femme,10trajet_sem_tous,16,37
16096449,2027-07-11,homme,2trajet_sem_tous,6,52
10056234,2028-02-06,,illimité,25,49
935746,2027-09-03,homme,2trajet_sem_tous,6,43
17401427,2027-08-26,homme,2trajet_sem_tous,6,42
7172830,2027-08-02,femme,illimité,25,43
927010,2027-07-10,,10trajet_sem_meca,8,29
218336,2027-09-01,femme,2trajet_sem_tous,6,31
26170139,2028-01-21,homme,2trajet_sem_meca,3,20
13615012,2027-07-06,non-binaire,2trajet_sem_meca,3,22
22532503,2027-09-13,homme,2trajet_sem_tous,6,36
4693213,2027-08-08,femme,2trajet_sem_tous,6,51
5295155,2027-12-26,homme,2trajet_sem_tous,6,43
27532584,2027-09-18,homme,2trajet_sem_meca,3,18
30572033,2027-08-28,femme,2trajet_sem_meca,3,30
11696707,2027-06-09,femme,2trajet_sem_meca,3,24
25051443,2027-11-25,homme,10trajet_sem_meca,8,28
969840,2028-04-12,non-binaire,2trajet_sem_tous,6,31
15060145,2028-05-23,femme,10trajet_sem_tous,16,36
16521843,2028-03-26,femme,2trajet_sem_tous,6,44
5838160,2028-04-27,femme,2trajet_sem_tous,6,28
20591328,2027-07-15,homme,2trajet_sem_tous,6,33
3003950,2027-08-06,homme,2trajet_sem_tous,6,30
21735303,2027-07-25,homme,2trajet_sem_tous,6,45
11443117,2027-06-12,femme,2trajet_sem_tous,6,35
8317843,2027-12-22,femme,2trajet_sem_meca,3,30
12925165,2027-08-30,femme,10trajet_sem_meca,8,18
30195979,2027-11-08,homme,2trajet_sem_tous,6,47
15246651,2027-08-14,homme,2trajet_sem_tous,6,53
13437030,2027-08-29,homme,2trajet_sem_tous,6,43
6469784,2028-04-05,femme,2trajet_sem_meca,3,18
9819902,2027-11-08,non-binaire,2trajet_sem_meca,3,19
30032923,2028-02-24,homme,2trajet_sem_meca,3,33
16091698,2028-04-08,femme,2trajet_sem_meca,3,21
27482476,2027-08-21,homme,2trajet_sem_meca,3,36
13830565,2027-10-06,non-binaire,2trajet_sem_meca,3,34
3727052,2028-01-05,femme,2trajet_sem_tous,6,36
28730480,2028-04-17,non-binaire,2trajet_sem_tous,6,29
28480110,2028-03-08,homme,2trajet_sem_tous,6,55
29463963,2027-07-08,homme,2trajet_sem_meca,3,30
14919151,2027-11-07,homme,10trajet_sem_tous,16,27
7760709,2027-10-03,,10trajet_sem_tous,16,36
20561624,2028-05-15,homme,2trajet_sem_tous,6,39
18029932,2027-09-09,femme,2trajet_sem_tous,6,45
14896285,2027-07-16,femme,2trajet_sem_meca,3,27
22906756,2027-06-18,femme,10trajet_sem_tous,16,30
15949037,2028-02-09,,2trajet_sem_meca,3,20
11306397,2027-08-07,homme,2trajet_sem_tous,6,42
6192678,2028-06-01,femme,2trajet_sem_meca,3,25
10101534,2028-01-02,homme,2trajet_sem_meca,3,34
645603,2027-09-18,homme,2trajet_sem_meca,3,19
8385912,2027-09-03,non-binaire,2trajet_sem_tous,6,38
9370002,2027-12-08,non-binaire,2trajet_sem_tous,6,41
23588534,2028-03-01,homme,2trajet_sem_meca,3,19
23025739,2028-06-02,non-binaire,10trajet_sem_meca,8,28
27045063,2027-06-30,homme,2trajet_sem_tous,6,30
29215570,2027-06-24,homme,2trajet_sem_meca,3,24
7870723,2028-01-07,homme,10trajet_sem_tous,16,32
16285181,2028-05-24,,2trajet_sem_meca,3,33
28621429,2028-03-07,femme,2trajet_sem_tous,6,53
7613948,2027-08-20,femme,2trajet_sem_tous,6,37
18076598,2027-07-24,femme,10trajet_sem_tous,16,32
13612851,2027-06-21,,2trajet_sem_tous,6,38
18983434,2027-07-31,,10trajet_sem_meca,8,22
20222070,2027-09-30,homme,2trajet_sem_meca,3,27
30164159,2027-10-27,femme,2trajet_sem_meca,3,31
28565448,2027-08-01,homme,2trajet_sem_meca,3,22
8129420,2027-07-08,femme,10trajet_sem_tous,16,28
10989469,2028-06-02,homme,illimité,25,40
11367935,2027-10-12,homme,10trajet_sem_tous,16,29
3480476,2028-03-10,femme,2trajet_sem_tous,6,41
29549036,2027-08-31,femme,2trajet_sem_meca,3,32
18621635,2028-01-06,femme,2trajet_sem_meca,3,21
17427360,2028-02-28,femme,2trajet_sem_meca,3,26
29365726,2028-04-25,homme,2trajet_sem_meca,3,18
9592888,2027-09-08,homme,2trajet_sem_tous,6,37
7954900,2028-05-27,femme,2trajet_sem_meca,3,30
3254285,2028-01-28,homme,10trajet_sem_tous,16,35
21480916,2027-06-20,non-binaire,illimité,25,43
1892617,2027-06-23,femme,10trajet_sem_tous,16,36
3398556,2028-02-27,non-binaire,2trajet_sem_meca,3,31
20956361,2027-08-11,femme,10trajet_sem_tous,16,25
13410459,2027-09-04,femme,2trajet_sem_meca,3,22
9203096,2027-07-13,femme,10trajet_sem_tous,16,37
24964164,2028-02-10,homme,2trajet_sem_meca,3,26
5126324,2028-05-28,homme,10trajet_sem_tous,16,44
21960711,2027-09-23,femme,2trajet_sem_tous,6,48
25115504,2027-09-02,femme,10trajet_sem_tous,16,28
5142643,2027-08-28,femme,2trajet_sem_meca,3,17
30097988,2027-06-13,homme,2trajet_sem_meca,3,18
9053781,2028-03-22,homme,2trajet_sem_tous,6,28
4930965,2027-09-18,femme,10trajet_sem_tous,16,28
22260596,2027-08-10,femme,2trajet_sem_meca,3,41
19691324,2027-06-16,homme,illimité,25,48
26036232,2027-07-07,femme,2trajet_sem_tous,6,43
16280349,2027-07-15,non-binaire,2trajet_sem_tous,6,52
626251,2028-03-22,homme,2trajet_sem_tous,6,38
28532460,2028-02-21,non-binaire,2trajet_sem_tous,6,39
9819951,2027-06-10,non-binaire,10trajet_sem_tous,16,23
84640,2027-12-18,femme,2trajet_sem_tous,6,49
23322891,2027-06-14,homme,2trajet_sem_tous,6,38
1310885,2027-06-30,homme,2trajet_sem_meca,3,22
29584346,2027-10-05,homme,2trajet_sem_tous,6,29
7225704,2028-02-14,femme,10trajet_sem_tous,16,33
21075264,2027-12-23,homme,2trajet_sem_meca,3,25
24042648,2027-08-04,homme,10trajet_sem_meca,8,24
24446942,2027-09-13,femme,2trajet_sem_tous,6,54
28996199,2028-02-06,femme,2trajet_sem_tous,6,52
24460402,2027-09-03,homme,10trajet_sem_meca,8,24
17920132,2027-09-21,femme,2trajet_sem_meca,3,34
23910583,2027-09-18,homme,2trajet_sem_meca,3,22
10621505,2027-06-30,femme,2trajet_sem_meca,3,20
25688295,2027-07-22,homme,2trajet_sem_meca,3,26
22920877,2028-06-01,non-binaire,2trajet_sem_meca,3,28
10442578,2028-02-25,femme,10trajet_sem_tous,16,35
13712565,2028-01-01,femme,2trajet_sem_tous,6,30
6715654,2028-03-26,homme,illimité,25,41
65848,2027-09-28,femme,2trajet_sem_tous,6,50
8008923,2028-01-04,homme,10trajet_sem_meca,8,20
28946039,2027-11-15,non-binaire,2trajet_sem_meca,3,26
2019424,2027-07-09,femme,2trajet_sem_tous,6,46
6633128,2027-08-17,,10trajet_sem_meca,8,21
12459945,2027-10-05,homme,2trajet_sem_meca,3,20
3496794,2027-08-17,femme,2trajet_sem_tous,6,38
3434180,2027-08-14,homme,2trajet_sem_tous,6,21
13032786,2027-10-18,homme,2trajet_sem_tous,6,43
21965880,2028-04-13,femme,10trajet_sem_tous,16,39
7748027,2027-10-10,femme,2trajet_sem_tous,6,51
16645407,2027-09-26,homme,2trajet_sem_tous,6,35
5620285,2027-11-11,homme,2trajet_sem_meca,3,22
4866774,2027-11-28,femme,2trajet_sem_tous,6,33
29719826,2027-06-24,,2trajet_sem_meca,3,17
27325190,2028-02-04,,2trajet_sem_meca,3,26
11756516,2028-02-29,homme,2trajet_sem_tous,6,35
14627547,2028-05-29,homme,2trajet_sem_meca,3,23
14801952,2028-03-12,homme,2trajet_sem_meca,3,22
12377904,2027-07-16,femme,2trajet_sem_tous,6,37
16703487,2028-04-11,femme,2trajet_sem_meca,3,31
9239651,2027-09-01,femme,10trajet_sem_tous,16,28
6616468,2027-07-28,homme,2trajet_sem_tous,6,44
6212914,2027-12-04,femme,2trajet_sem_meca,3,27
6370773,2028-02-08,homme,2trajet_sem_tous,6,54
1188149,2027-08-18,non-binaire,2trajet_sem_tous,6,32
714552,2028-01-31,non-binaire,2trajet_sem_tous,6,46
19865785,2027-12-02,femme,10trajet_sem_tous,16,36
10416099,2027-07-31,homme,2trajet_sem_tous,6,47
14008143,2027-11-01,homme,2trajet_sem_meca,3,27
2095816,2027-09-14,femme,10trajet_sem_meca,8,27
21803653,2028-02-28,,2trajet_sem_meca,3,25
20420185,2027-09-20,femme,2trajet_sem_tous,6,41
28293308,2028-01-03,homme,2trajet_sem_meca,3,24
26298304,2027-08-14,femme,2trajet_sem_tous,6,49
20267484,2027-12-15,homme,2trajet_sem_tous,6,41
9798320,2027-09-02,homme,10trajet_sem_meca,8,29
20968876,2027-09-01,homme,2trajet_sem_meca,3,23
18920677,2028-05-14,homme,2trajet_sem_tous,6,48
1573126,2027-08-28,homme,2trajet_sem_tous,6,34
23283835,2027-07-25,homme,2trajet_sem_meca,3,41
20990275,2027-10-21,,10trajet_sem_meca,8,17
26726409,2027-11-25,homme,2trajet_sem_meca,3,19
16274766,2027-07-09,non-binaire,2trajet_sem_meca,3,24
3541511,2027-11-21,homme,2trajet_sem_tous,6,32
3026489,2027-10-12,femme,2trajet_sem_tous,6,48
21084476,2027-12-27,femme,2trajet_sem_tous,6,49
26770288,2027-08-10,homme,2trajet_sem_meca,3,20
9705427,2028-06-01,non-binaire,10trajet_sem_meca,8,30
26396643,2028-02-25,femme,2trajet_sem_meca,3,21
20579225,2027-08-17,femme,2trajet_sem_meca,3,30
21753575,2028-03-17,femme,2trajet_sem_meca,3,24
5893223,2028-01-05,femme,2trajet_sem_tous,6,40
3742169,2028-01-30,homme,10trajet_sem_meca,8,37
13725290,2027-07-19,homme,2trajet_sem_tous,6,44
5807379,2027-08-28,femme,2trajet_sem_tous,6,27
2953534,2027-08-02,homme,2trajet_sem_meca,3,24
22084573,2027-12-22,femme,10trajet_sem_meca,8,19
26811245,2027-07-25,femme,10trajet_sem_tous,16,29
21645663,2027-08-09,,10trajet_sem_meca,8,20
1761568,2028-05-03,femme,2trajet_sem_meca,3,22
25291050,2027-11-25,femme,2trajet_sem_meca,3,26
28365757,2027-10-27,femme,2trajet_sem_tous,6,36
20766975,2028-06-02,homme,2trajet_sem_tous,6,37
23691810,2028-05-23,homme,2trajet_sem_tous,6,61
26006039,2027-12-25,homme,2trajet_sem_meca,3,28
9851037,2027-09-06,femme,2trajet_sem_meca,3,28
18551221,2027-07-04,homme,2trajet_sem_meca,3,29
27203882,2028-03-13,homme,2trajet_sem_meca,3,23
18227591,2027-08-27,femme,2trajet_sem_tous,6,40
2007323,2027-08-29,femme,10trajet_sem_tous,16,30
21014811,2027-08-13,homme,10trajet_sem_meca,8,23
13756794,2027-08-07,femme,2trajet_sem_meca,3,43
24397893,2027-09-05,homme,2trajet_sem_meca,3,17
10007065,2028-02-01,femme,2trajet_sem_tous,6,42
15849699,2027-10-10,non-binaire,2trajet_sem_tous,6,49
15083786,2027-08-22,femme,2trajet_sem_tous,6,40
16363697,2027-09-05,homme,2trajet_sem_meca,3,21
11064114,2028-04-30,homme,2trajet_sem_tous,6,41
19862559,2027-06-14,homme,10trajet_sem_meca,8,26
22511974,2027-08-26,homme,2trajet_sem_meca,3,20
11081250,2027-06-05,femme,10trajet_sem_meca,8,32
12239559,2028-05-03,homme,2trajet_sem_tous,6,43
23064312,2027-10-12,homme,10trajet_sem_meca,8,22
8664375,2028-03-13,femme,10trajet_sem_meca,8,27
1282820,2028-05-13,femme,2trajet_sem_tous,6,47
30708216,2027-07-25,homme,2trajet_sem_tous,6,41
6742244,2028-05-04,non-binaire,2trajet_sem_tous,6,39
18905677,2027-07-09,,2trajet_sem_meca,3,23
29596003,2027-12-29,homme,2trajet_sem_meca,3,26
29929510,2028-02-07,femme,2trajet_sem_tous,6,32
27232396,2028-02-10,,2trajet_sem_tous,6,31
22181183,2027-09-23,femme,2trajet_sem_tous,6,36
8193280,2027-07-29,femme,illimité,25,42
1543147,2027-09-07,,2trajet_sem_meca,3,30
4722757,2027-07-10,femme,2trajet_sem_meca,3,25
26035391,2027-08-24,femme,2trajet_sem_meca,3,23
11090673,2027-09-07,homme,2trajet_sem_tous,6,35
7741860,2027-10-02,homme,10trajet_sem_meca,8,21
20262309,2027-08-27,femme,10trajet_sem_meca,8,23
7911361,2028-05-13,homme,2trajet_sem_tous,6,29
6004279,2028-04-06,femme,10trajet_sem_tous,16,32
6817230,2027-07-22,femme,2trajet_sem_meca,3,22
25234017,2027-07-25,homme,10trajet_sem_tous,16,27
17087526,2028-04-29,homme,2trajet_sem_tous,6,45
7668182,2027-06-16,femme,2trajet_sem_meca,3,29
22615832,2028-05-06,homme,2trajet_sem_meca,3,22
16337093,2027-07-08,femme,2trajet_sem_tous,6,42
9292837,2027-08-27,homme,2trajet_sem_tous,6,37
7805976,2028-05-02,femme,2trajet_sem_tous,6,48
19683556,2027-06-27,homme,2trajet_sem_meca,3,33
139880,2028-05-24,non-binaire,2trajet_sem_tous,6,49
20004374,2027-08-13,femme,2trajet_sem_tous,6,45
12810006,2027-10-12,homme,10trajet_sem_meca,8,23
16896784,2028-04-13,femme,2trajet_sem_meca,3,19
5268302,2027-07-10,femme,10trajet_sem_tous,16,28
13459278,2027-07-27,homme,2trajet_sem_meca,3,28
2889985,2027-12-06,femme,2trajet_sem_meca,3,21
29894149,2027-12-04,femme,illimité,25,47
20755770,2027-10-07,homme,10trajet_sem_tous,16,25
11526327,2027-08-05,homme,2trajet_sem_meca,3,20
22042060,2027-07-13,femme,2trajet_sem_tous,6,43
12862589,2028-05-22,non-binaire,2trajet_sem_meca,3,34
4226188,2027-11-01,homme,2trajet_sem_tous,6,38
4623225,2027-09-16,femme,2trajet_sem_tous,6,41
11937989,2027-07-26,,2trajet_sem_meca,3,29
9020400,2027-07-23,homme,2trajet_sem_meca,3,27
8551222,2027-08-19,homme,2trajet_sem_meca,3,25
11247960,2027-09-04,femme,10trajet_sem_tous,16,37
21812769,2028-05-09,femme,2trajet_sem_tous,6,58
13897978,2027-08-28,femme,2trajet_sem_meca,3,17
16491196,2027-12-01,femme,2trajet_sem_tous,6,39
27641350,2028-05-31,femme,2trajet_sem_meca,3,17
10292202,2028-02-16,femme,10trajet_sem_meca,8,20
25312229,2027-08-24,femme,2trajet_sem_tous,6,44
10382610,2027-08-20,femme,2trajet_sem_tous,6,39
17825474,2027-10-26,non-binaire,2trajet_sem_meca,3,30
9504015,2027-06-27,homme,2trajet_sem_meca,3,30
19375428,2027-08-22,femme,10trajet_sem_meca,8,31
17308636,2027-09-16,homme,illimité,25,46
3124202,2027-07-06,homme,2trajet_sem_tous,6,41
993495,2027-09-25,femme,2trajet_sem_tous,6,50
30295766,2027-08-22,homme,10trajet_sem_meca,8,24
